symbol,shares,as_of,source
LALPATHLAB,166977774,2026-07-12,yfinance_fast_info
LAMBODHARA,10377600,2026-07-12,yfinance_fast_info
LANCORHOL,73550560,2026-07-12,yfinance_fast_info
LANDMARK,41464910,2026-07-12,yfinance_fast_info
LANDSMILL,1410695055,2026-07-12,yfinance_fast_info
LAOPALA,111000000,2026-07-12,yfinance_fast_info
LASA,50101239,2026-07-12,yfinance_fast_info
LATENTVIEW,206924980,2026-07-12,yfinance_fast_info
LAURUSLABS,540249583,2026-07-12,yfinance_fast_info
LAXMICOT,17147670,2026-07-12,yfinance_fast_info
LAXMIDENTL,54962149,2026-07-12,yfinance_fast_info
LCCINFOTEC,126593350,2026-07-12,yfinance_fast_info
LEMERITE,125168000,2026-07-12,yfinance_fast_info
LEMONTREE,791847623,2026-07-12,yfinance_fast_info
LENSKART,1731440176,2026-07-12,yfinance_fast_info
LEXUS,20190724,2026-07-12,yfinance_fast_info
LFIC,3000000,2026-07-12,yfinance_fast_info
LGBBROSLTD,31896872,2026-07-12,yfinance_fast_info
LGEINDIA,678772392,2026-07-12,yfinance_fast_info
LGHL,50092560,2026-07-12,yfinance_fast_info
LIBAS,26344580,2026-07-12,yfinance_fast_info
LIBERTSHOE,17040000,2026-07-12,yfinance_fast_info
LICHSGFIN,550063000,2026-07-12,yfinance_fast_info
LICI,12649995402,2026-07-12,yfinance_fast_info
LIKHITHA,39472710,2026-07-12,yfinance_fast_info
LINC,59505603,2026-07-12,yfinance_fast_info
LINCOLN,20029728,2026-07-12,yfinance_fast_info
LINDEINDIA,85284223,2026-07-12,yfinance_fast_info
LLOYDSENGG,1425273344,2026-07-12,yfinance_fast_info
LLOYDSENT,1526551945,2026-07-12,yfinance_fast_info
LLOYDSME,562678119,2026-07-12,yfinance_fast_info
LMW,10683000,2026-07-12,yfinance_fast_info
LODHA,998915116,2026-07-12,yfinance_fast_info
LORDSCHLO,28653861,2026-07-12,yfinance_fast_info
LOTUSDEV,488723710,2026-07-12,yfinance_fast_info
LOTUSEYE,21257465,2026-07-12,yfinance_fast_info
LOVABLE,14800000,2026-07-12,yfinance_fast_info
LOYALTEX,4816446,2026-07-12,yfinance_fast_info
LPDC,134143160,2026-07-12,yfinance_fast_info
LT,1375729178,2026-07-12,yfinance_fast_info
LTF,2505660198,2026-07-12,yfinance_fast_info
LTFOODS,347252944,2026-07-12,yfinance_fast_info
LTM,296461217,2026-07-12,yfinance_fast_info
LTTS,106068593,2026-07-12,yfinance_fast_info
LUMAXIND,9347732,2026-07-12,yfinance_fast_info
LUMAXTECH,68157705,2026-07-12,yfinance_fast_info
LUPIN,457234894,2026-07-12,yfinance_fast_info
LUXIND,30071681,2026-07-12,yfinance_fast_info
LXCHEM,277211567,2026-07-12,yfinance_fast_info
LYPSAGEMS,29484000,2026-07-12,yfinance_fast_info
M&M,1200762264,2026-07-12,yfinance_fast_info
M&MFIN,1389545161,2026-07-12,yfinance_fast_info
MAANALU,59984864,2026-07-12,yfinance_fast_info
MACPOWER,10004160,2026-07-12,yfinance_fast_info
MADHAV,8947000,2026-07-12,yfinance_fast_info
MADRASFERT,161101300,2026-07-12,yfinance_fast_info
MAFATIND,72178930,2026-07-12,yfinance_fast_info
MAGADSUGAR,14091630,2026-07-12,yfinance_fast_info
MAGNUM,68411317,2026-07-12,yfinance_fast_info
MAHABANK,7691554950,2026-07-12,yfinance_fast_info
MAHAPEXLTD,28183792,2026-07-12,yfinance_fast_info
MAHASTEEL,16434400,2026-07-12,yfinance_fast_info
MAHEPC,28077040,2026-07-12,yfinance_fast_info
MAHLIFE,213342715,2026-07-12,yfinance_fast_info
MAHLOG,99222483,2026-07-12,yfinance_fast_info
MAHSCOOTER,11428568,2026-07-12,yfinance_fast_info
MAHSEAMLES,133999252,2026-07-12,yfinance_fast_info
MAITHANALL,29111550,2026-07-12,yfinance_fast_info
MAJESAUT,10397478,2026-07-12,yfinance_fast_info
MALLCOM,6240000,2026-07-12,yfinance_fast_info
MALUPAPER,17474505,2026-07-12,yfinance_fast_info
MAMATA,24607800,2026-07-12,yfinance_fast_info
MANAKALUCO,65534050,2026-07-12,yfinance_fast_info
MANAKCOAT,106634050,2026-07-12,yfinance_fast_info
MANAKSIA,65534050,2026-07-12,yfinance_fast_info
MANALIPETC,171999229,2026-07-12,yfinance_fast_info
MANAPPURAM,939336102,2026-07-12,yfinance_fast_info
MANBA,50239410,2026-07-12,yfinance_fast_info
MANCREDIT,21113986,2026-07-12,yfinance_fast_info
MANGALAM,15828248,2026-07-12,yfinance_fast_info
MANGLMCEM,27497298,2026-07-12,yfinance_fast_info
MANINDS,75009571,2026-07-12,yfinance_fast_info
MANINFRA,403666505,2026-07-12,yfinance_fast_info
MANKIND,412995978,2026-07-12,yfinance_fast_info
MANOMAY,18048735,2026-07-12,yfinance_fast_info
MANORAMA,63122390,2026-07-12,yfinance_fast_info
MANYAVAR,242977245,2026-07-12,yfinance_fast_info
MAPMYINDIA,54761056,2026-07-12,yfinance_fast_info
MARATHON,67420546,2026-07-12,yfinance_fast_info
MARICO,1295885046,2026-07-12,yfinance_fast_info
MARINE,132665250,2026-07-12,yfinance_fast_info
MARKOLINES,22040920,2026-07-12,yfinance_fast_info
MARKSANS,453163746,2026-07-12,yfinance_fast_info
MARSONS,172100000,2026-07-12,yfinance_fast_info
MARUTI,314402574,2026-07-12,yfinance_fast_info
MASFIN,181453377,2026-07-12,yfinance_fast_info
MASTEK,31000782,2026-07-12,yfinance_fast_info
MASTERTR,123016000,2026-07-12,yfinance_fast_info
MATRIMONY,20670293,2026-07-12,yfinance_fast_info
MAXESTATES,163513410,2026-07-12,yfinance_fast_info
MAXHEALTH,973243789,2026-07-12,yfinance_fast_info
MAXIND,52582862,2026-07-12,yfinance_fast_info
MAYURUNIQ,43452600,2026-07-12,yfinance_fast_info
MAZDOCK,403380000,2026-07-12,yfinance_fast_info
MBAPL,438134700,2026-07-12,yfinance_fast_info
MBEL,57148215,2026-07-12,yfinance_fast_info
MCL,27142800,2026-07-12,yfinance_fast_info
MCLOUD,589067120,2026-07-12,yfinance_fast_info
MCX,254514090,2026-07-12,yfinance_fast_info
MEDANTA,268718832,2026-07-12,yfinance_fast_info
MEDIASSIST,74701842,2026-07-12,yfinance_fast_info
MEDICAMEQ,13562815,2026-07-12,yfinance_fast_info
MEDICO,82984000,2026-07-12,yfinance_fast_info
MEDPLUS,120085800,2026-07-12,yfinance_fast_info
MEESHO,4622111746,2026-07-12,yfinance_fast_info
MEGASTAR,11293700,2026-07-12,yfinance_fast_info
METROBRAND,272565341,2026-07-12,yfinance_fast_info
METROGLOBL,12334375,2026-07-12,yfinance_fast_info
METROPOLIS,207368868,2026-07-12,yfinance_fast_info
MFML,10620275,2026-07-12,yfinance_fast_info
MFSL,343446614,2026-07-12,yfinance_fast_info
MGL,98777779,2026-07-12,yfinance_fast_info
MHLXMIRU,10620275,2026-07-12,yfinance_fast_info
MHRIL,201676778,2026-07-12,yfinance_fast_info
MIDHANI,187340000,2026-07-12,yfinance_fast_info
MIDWESTLTD,36160816,2026-07-12,yfinance_fast_info
MINDACORP,235360911,2026-07-12,yfinance_fast_info
MINDTECK,31954221,2026-07-12,yfinance_fast_info
MIRZAINT,138201900,2026-07-12,yfinance_fast_info
MITTAL,443900775,2026-07-12,yfinance_fast_info
MKPL,377227216,2026-07-12,yfinance_fast_info
MMFL,48281600,2026-07-12,yfinance_fast_info
MMP,25402613,2026-07-12,yfinance_fast_info
MMTC,1500000000,2026-07-12,yfinance_fast_info
MOBIKWIK,78746917,2026-07-12,yfinance_fast_info
MODIRUBBER,25040532,2026-07-12,yfinance_fast_info
MODIS,19591200,2026-07-12,yfinance_fast_info
MODTHREAD,34775160,2026-07-12,yfinance_fast_info
MOHITIND,14157575,2026-07-12,yfinance_fast_info
MOIL,203485211,2026-07-12,yfinance_fast_info
MOKSH,83748968,2026-07-12,yfinance_fast_info
MOL,254314211,2026-07-12,yfinance_fast_info
MOLDTECH,28805118,2026-07-12,yfinance_fast_info
MOLDTKPAC,33228914,2026-07-12,yfinance_fast_info
MONARCH,79308338,2026-07-12,yfinance_fast_info
MONEYBOXX,69809200,2026-07-12,yfinance_fast_info
MONTECARLO,20732064,2026-07-12,yfinance_fast_info
MOREPENLAB,547953699,2026-07-12,yfinance_fast_info
MOSCHIP,194272240,2026-07-12,yfinance_fast_info
MOTHERSON,10531231231,2026-07-12,yfinance_fast_info
MOTILALOFS,602146704,2026-07-12,yfinance_fast_info
MOTISONS,1137506600,2026-07-12,yfinance_fast_info
MPHASIS,190817050,2026-07-12,yfinance_fast_info
MPSLTD,16975533,2026-07-12,yfinance_fast_info
MRF,4241143,2026-07-12,yfinance_fast_info
MRPL,1752598777,2026-07-12,yfinance_fast_info
MSPL,566796645,2026-07-12,yfinance_fast_info
MSTCLTD,70400000,2026-07-12,yfinance_fast_info
MSUMI,6631661898,2026-07-12,yfinance_fast_info
MTNL,630000000,2026-07-12,yfinance_fast_info
MUFIN,198162188,2026-07-12,yfinance_fast_info
MUFTI,65394103,2026-07-12,yfinance_fast_info
MUKANDLTD,144495563,2026-07-12,yfinance_fast_info
MUKKA,300000000,2026-07-12,yfinance_fast_info
MUNJALAU,100000000,2026-07-12,yfinance_fast_info
MUNJALSHOW,39995000,2026-07-12,yfinance_fast_info
MURUDCERA,60545260,2026-07-12,yfinance_fast_info
MUTHOOTCAP,16447533,2026-07-12,yfinance_fast_info
MUTHOOTFIN,401468476,2026-07-12,yfinance_fast_info
MUTHOOTMF,167766677,2026-07-12,yfinance_fast_info
MVGJL,48847441,2026-07-12,yfinance_fast_info
MWL,297006740,2026-07-12,yfinance_fast_info
NACLIND,234243330,2026-07-12,yfinance_fast_info
NAGREEKEXP,31249250,2026-07-12,yfinance_fast_info
NAHARCAP,16746167,2026-07-12,yfinance_fast_info
NAHARINDUS,43205581,2026-07-12,yfinance_fast_info
NAHARPOLY,24587991,2026-07-12,yfinance_fast_info
NARMADA,37936399,2026-07-12,yfinance_fast_info
NATCAPSUQ,10411154,2026-07-12,yfinance_fast_info
NATCOPHARM,179109870,2026-07-12,yfinance_fast_info
NATHBIOGEN,19030423,2026-07-12,yfinance_fast_info
NATIONALUM,1836631787,2026-07-12,yfinance_fast_info
NAUKRI,647737438,2026-07-12,yfinance_fast_info
NAVA,283255096,2026-07-12,yfinance_fast_info
NAVINFLUOR,51285959,2026-07-12,yfinance_fast_info
NAVKARCORP,150519181,2026-07-12,yfinance_fast_info
NAVNETEDUL,221213181,2026-07-12,yfinance_fast_info
NAZARA,370465024,2026-07-12,yfinance_fast_info
NBCC,2700000000,2026-07-12,yfinance_fast_info
NBIFIN,2954850,2026-07-12,yfinance_fast_info
NCC,627846588,2026-07-12,yfinance_fast_info
NCLIND,45232790,2026-07-12,yfinance_fast_info
NDGL,1000000,2026-07-12,yfinance_fast_info
NDL,1441471680,2026-07-12,yfinance_fast_info
NDLVENTURE,33671621,2026-07-12,yfinance_fast_info
NDRAUTO,23855240,2026-07-12,yfinance_fast_info
NDTV,112824717,2026-07-12,yfinance_fast_info
NELCAST,87243660,2026-07-12,yfinance_fast_info
NELCO,22818400,2026-07-12,yfinance_fast_info
NEOGEN,27381674,2026-07-12,yfinance_fast_info
NEPHROPLUS,100340717,2026-07-12,yfinance_fast_info
NESCO,70459960,2026-07-12,yfinance_fast_info
NESTLEIND,1928314320,2026-07-12,yfinance_fast_info
NETWEB,56940687,2026-07-12,yfinance_fast_info
NETWORK18,1544487688,2026-07-12,yfinance_fast_info
NEULANDLAB,12829889,2026-07-12,yfinance_fast_info
NEWGEN,141159509,2026-07-12,yfinance_fast_info
NEXTMEDIA,66892908,2026-07-12,yfinance_fast_info
NFL,490578400,2026-07-12,yfinance_fast_info
NGLFINE,6178024,2026-07-12,yfinance_fast_info
NH,203099835,2026-07-12,yfinance_fast_info
NHPC,10045034805,2026-07-12,yfinance_fast_info
NIACL,1648000000,2026-07-12,yfinance_fast_info
NIBE,15261273,2026-07-12,yfinance_fast_info
NIBL,24230650,2026-07-12,yfinance_fast_info
NIITLTD,136653763,2026-07-12,yfinance_fast_info
NIITMTS,137520439,2026-07-12,yfinance_fast_info
NILAINFRA,393889200,2026-07-12,yfinance_fast_info
NILASPACES,393889200,2026-07-12,yfinance_fast_info
NILKAMAL,14972296,2026-07-12,yfinance_fast_info
NIPPOBATRY,7500000,2026-07-12,yfinance_fast_info
NIRAJISPAT,600000,2026-07-12,yfinance_fast_info
NIRLON,90118040,2026-07-12,yfinance_fast_info
NITCO,240566105,2026-07-12,yfinance_fast_info
NITINSPIN,56220000,2026-07-12,yfinance_fast_info
NITIRAJ,10251000,2026-07-12,yfinance_fast_info
NITTAGELA,9079160,2026-07-12,yfinance_fast_info
NIVABUPA,1849233703,2026-07-12,yfinance_fast_info
NKIND,6009900,2026-07-12,yfinance_fast_info
NLCINDIA,1386636609,2026-07-12,yfinance_fast_info
NMDC,8791817550,2026-07-12,yfinance_fast_info
NOCIL,167024930,2026-07-12,yfinance_fast_info
NORBTEAEXP,15544100,2026-07-12,yfinance_fast_info
NORTHARC,161601009,2026-07-12,yfinance_fast_info
NOVARTIND,24690797,2026-07-12,yfinance_fast_info
NPST,20863500,2026-07-12,yfinance_fast_info
NRAIL,17019100,2026-07-12,yfinance_fast_info
NRBBEARING,96922600,2026-07-12,yfinance_fast_info
NSIL,5136163,2026-07-12,yfinance_fast_info
NSLNISP,2930605850,2026-07-12,yfinance_fast_info
NTPC,9696666134,2026-07-12,yfinance_fast_info
NTPCGREEN,8426329669,2026-07-12,yfinance_fast_info
NUCLEUS,26325306,2026-07-12,yfinance_fast_info
NURECA,9998488,2026-07-12,yfinance_fast_info
NUVAMA,182528816,2026-07-12,yfinance_fast_info
NUVOCO,357156153,2026-07-12,yfinance_fast_info
NYKAA,2863887743,2026-07-12,yfinance_fast_info
OAL,33653576,2026-07-12,yfinance_fast_info
OBCL,21082790,2026-07-12,yfinance_fast_info
OBEROIRLTY,363602237,2026-07-12,yfinance_fast_info
OFSS,87072139,2026-07-12,yfinance_fast_info
OIL,1626607791,2026-07-12,yfinance_fast_info
OLAELEC,4418680703,2026-07-12,yfinance_fast_info
OLECTRA,82080737,2026-07-12,yfinance_fast_info
OMAXE,183654284,2026-07-12,yfinance_fast_info
OMINFRAL,96303809,2026-07-12,yfinance_fast_info
OMNI,123666020,2026-07-12,yfinance_fast_info
ONEPOINT,262497155,2026-07-12,yfinance_fast_info
ONESOURCE,114669991,2026-07-12,yfinance_fast_info
ONGC,12580279206,2026-07-12,yfinance_fast_info
ONWARDTEC,21933211,2026-07-12,yfinance_fast_info
OPTIEMUS,88688783,2026-07-12,yfinance_fast_info
ORCHASP,346425366,2026-07-12,yfinance_fast_info
ORCHPHARMA,50719105,2026-07-12,yfinance_fast_info
ORICONENT,157989688,2026-07-12,yfinance_fast_info
ORIENTALTL,73507265,2026-07-12,yfinance_fast_info
ORIENTBELL,14710476,2026-07-12,yfinance_fast_info
ORIENTCEM,205459873,2026-07-12,yfinance_fast_info
ORIENTCER,119639200,2026-07-12,yfinance_fast_info
ORIENTELEC,213390128,2026-07-12,yfinance_fast_info
ORIENTHOT,178599180,2026-07-12,yfinance_fast_info
ORIENTLTD,10000000,2026-07-12,yfinance_fast_info
ORIENTPPR,212185502,2026-07-12,yfinance_fast_info
ORIENTTECH,45805916,2026-07-12,yfinance_fast_info
ORISSAMINE,6000000,2026-07-12,yfinance_fast_info
ORKLAINDIA,136989231,2026-07-12,yfinance_fast_info
OSWALGREEN,256809160,2026-07-12,yfinance_fast_info
OSWALPUMPS,114004897,2026-07-12,yfinance_fast_info
OSWALSEEDS,91470000,2026-07-12,yfinance_fast_info
PACEDIGITK,215851327,2026-07-12,yfinance_fast_info
PAGEIND,11153874,2026-07-12,yfinance_fast_info
PAISALO,909521874,2026-07-12,yfinance_fast_info
PAKKA,47668100,2026-07-12,yfinance_fast_info
PALASHSECU,10003102,2026-07-12,yfinance_fast_info
PANACEABIO,61250746,2026-07-12,yfinance_fast_info
PANACHE,15228000,2026-07-12,yfinance_fast_info
PANAMAPET,60493598,2026-07-12,yfinance_fast_info
PANSARI,17446800,2026-07-12,yfinance_fast_info
PAR,12304636,2026-07-12,yfinance_fast_info
PARACABLES,327207478,2026-07-12,yfinance_fast_info
PARADEEP,1038170594,2026-07-12,yfinance_fast_info
PARAGMILK,126508539,2026-07-12,yfinance_fast_info
PARAS,80587330,2026-07-12,yfinance_fast_info
PARASPETRO,334221000,2026-07-12,yfinance_fast_info
PARKHOSPS,431930865,2026-07-12,yfinance_fast_info
PARKHOTELS,213374246,2026-07-12,yfinance_fast_info
PASHUPATI,157840000,2026-07-12,yfinance_fast_info
PATANJALI,1087879698,2026-07-12,yfinance_fast_info
PATELENG,955047697,2026-07-12,yfinance_fast_info
PATELRMART,33400528,2026-07-12,yfinance_fast_info
PAUSHAKLTD,24656912,2026-07-12,yfinance_fast_info
PAYTM,640684481,2026-07-12,yfinance_fast_info
PCBL,393462604,2026-07-12,yfinance_fast_info
PCJEWELLER,9710534855,2026-07-12,yfinance_fast_info
PDMJEPAPER,94950000,2026-07-12,yfinance_fast_info
PDSL,141691358,2026-07-12,yfinance_fast_info
PENIND,134946231,2026-07-12,yfinance_fast_info
PERSISTENT,156231044,2026-07-12,yfinance_fast_info
PETRONET,1500000088,2026-07-12,yfinance_fast_info
PFC,3300101760,2026-07-12,yfinance_fast_info
PFIZER,45747732,2026-07-12,yfinance_fast_info
PFS,642283335,2026-07-12,yfinance_fast_info
PGEL,286496708,2026-07-12,yfinance_fast_info
PGHH,32460736,2026-07-12,yfinance_fast_info
PGHL,16599382,2026-07-12,yfinance_fast_info
PGIL,46184117,2026-07-12,yfinance_fast_info
PHOENIXLTD,357640475,2026-07-12,yfinance_fast_info
PICCADIL,98569416,2026-07-12,yfinance_fast_info
PIDILITIND,1017775348,2026-07-12,yfinance_fast_info
PIGL,21168900,2026-07-12,yfinance_fast_info
PIIND,151703230,2026-07-12,yfinance_fast_info
PILANIINVS,11072250,2026-07-12,yfinance_fast_info
PINELABS,1153858090,2026-07-12,yfinance_fast_info
PIONEEREMB,30815442,2026-07-12,yfinance_fast_info
PIRAMALFIN,226004925,2026-07-12,yfinance_fast_info
PITTIENG,36913588,2026-07-12,yfinance_fast_info
PIXTRANS,13625200,2026-07-12,yfinance_fast_info
PKTEA,3095879,2026-07-12,yfinance_fast_info
PLASTIBLEN,25989200,2026-07-12,yfinance_fast_info
PLATIND,56650872,2026-07-12,yfinance_fast_info
PNB,11492943268,2026-07-12,yfinance_fast_info
PNBGILTS,180010134,2026-07-12,yfinance_fast_info
PNBHOUSING,260589923,2026-07-12,yfinance_fast_info
PNC,14467000,2026-07-12,yfinance_fast_info
PNCINFRA,256539165,2026-07-12,yfinance_fast_info
PNGJL,135708333,2026-07-12,yfinance_fast_info
PNGSREVA,31698400,2026-07-12,yfinance_fast_info
POCL,30511279,2026-07-12,yfinance_fast_info
PODDARMENT,10610000,2026-07-12,yfinance_fast_info
POKARNA,31004000,2026-07-12,yfinance_fast_info
POLICYBZR,462042002,2026-07-12,yfinance_fast_info
POLYCAB,150578403,2026-07-12,yfinance_fast_info
POLYMED,101479497,2026-07-12,yfinance_fast_info
POLYPLEX,31392462,2026-07-12,yfinance_fast_info
PONNIERODE,8598418,2026-07-12,yfinance_fast_info
POONAWALLA,875668688,2026-07-12,yfinance_fast_info
POWERGRID,9300603819,2026-07-12,yfinance_fast_info
POWERICA,126551877,2026-07-12,yfinance_fast_info
POWERINDIA,44572363,2026-07-12,yfinance_fast_info
POWERMECH,31616292,2026-07-12,yfinance_fast_info
PPAP,14178765,2026-07-12,yfinance_fast_info
PPLPHARMA,1326844010,2026-07-12,yfinance_fast_info
PRABHA,146572789,2026-07-12,yfinance_fast_info
PRAENG,69935791,2026-07-12,yfinance_fast_info
PRAJIND,183813088,2026-07-12,yfinance_fast_info
PRAKASH,179081839,2026-07-12,yfinance_fast_info
PRAKASHSTL,175000390,2026-07-12,yfinance_fast_info
PRECAM,94985835,2026-07-12,yfinance_fast_info
PRECOT,12000000,2026-07-12,yfinance_fast_info
PRECWIRE,182807975,2026-07-12,yfinance_fast_info
PREMEXPLN,53784143,2026-07-12,yfinance_fast_info
PREMIERENE,451296523,2026-07-12,yfinance_fast_info
PREMIERPOL,104742475,2026-07-12,yfinance_fast_info
PRESTIGE,430730232,2026-07-12,yfinance_fast_info
PRICOLLTD,121881498,2026-07-12,yfinance_fast_info
PRIMESECU,33940325,2026-07-12,yfinance_fast_info
PRIMO,242343220,2026-07-12,yfinance_fast_info
PRINCEPIPE,110582248,2026-07-12,yfinance_fast_info
PRIVISCL,39062706,2026-07-12,yfinance_fast_info
PROSTARM,58874592,2026-07-12,yfinance_fast_info
PROTEAN,40621194,2026-07-12,yfinance_fast_info
PROZONER,152602883,2026-07-12,yfinance_fast_info
PRSMJOHNSN,503356580,2026-07-12,yfinance_fast_info
PRUDENT,41406680,2026-07-12,yfinance_fast_info
PSB,7095585220,2026-07-12,yfinance_fast_info
PSPPROJECT,39641791,2026-07-12,yfinance_fast_info
PTC,296008321,2026-07-12,yfinance_fast_info
PTCIL,14992549,2026-07-12,yfinance_fast_info
PTL,132377000,2026-07-12,yfinance_fast_info
PUNJABCHEM,12262185,2026-07-12,yfinance_fast_info
PURVA,237149686,2026-07-12,yfinance_fast_info
PVP,260403681,2026-07-12,yfinance_fast_info
PVRINOX,98199962,2026-07-12,yfinance_fast_info
PVSL,71198198,2026-07-12,yfinance_fast_info
PWL,2859692500,2026-07-12,yfinance_fast_info
PYRAMID,36879916,2026-07-12,yfinance_fast_info
QMSMEDI,18055299,2026-07-12,yfinance_fast_info
QUADFUTURE,40000000,2026-07-12,yfinance_fast_info
QUESS,149359849,2026-07-12,yfinance_fast_info
RACE,17257200,2026-07-12,yfinance_fast_info
RACLGEAR,11808915,2026-07-12,yfinance_fast_info
RADAAN,54161540,2026-07-12,yfinance_fast_info
RADHIKAJWE,118126508,2026-07-12,yfinance_fast_info
RADIANTCMS,106707906,2026-07-12,yfinance_fast_info
RADICO,133982398,2026-07-12,yfinance_fast_info
RADIOCITY,351344170,2026-07-12,yfinance_fast_info
RAILTEL,320938407,2026-07-12,yfinance_fast_info
RAIN,336345679,2026-07-12,yfinance_fast_info
RAINBOW,101447570,2026-07-12,yfinance_fast_info
RAJMET,276480000,2026-07-12,yfinance_fast_info
RAJRATAN,50771000,2026-07-12,yfinance_fast_info
RAJSREESUG,33135606,2026-07-12,yfinance_fast_info
RAJTV,51913344,2026-07-12,yfinance_fast_info
RALLIS,194468890,2026-07-12,yfinance_fast_info
RAMANEWS,150497721,2026-07-12,yfinance_fast_info
RAMAPHO,35386426,2026-07-12,yfinance_fast_info
RAMCOCEM,236292380,2026-07-12,yfinance_fast_info
RAMCOIND,86841560,2026-07-12,yfinance_fast_info
RAMCOSYS,37583978,2026-07-12,yfinance_fast_info
RAMKY,69197791,2026-07-12,yfinance_fast_info
RAMRAT,93349072,2026-07-12,yfinance_fast_info
RANASUG,153567820,2026-07-12,yfinance_fast_info
RANEHOLDIN,14277809,2026-07-12,yfinance_fast_info
RATEGAIN,118357928,2026-07-12,yfinance_fast_info
RATNAMANI,70092000,2026-07-12,yfinance_fast_info
RATNAVEER,71426681,2026-07-12,yfinance_fast_info
RAYMOND,66551431,2026-07-12,yfinance_fast_info
RAYMONDLSL,60905789,2026-07-12,yfinance_fast_info
RAYMONDREL,66551431,2026-07-12,yfinance_fast_info
RBA,711718862,2026-07-12,yfinance_fast_info
RBLBANK,1548558033,2026-07-12,yfinance_fast_info
RBZJEWEL,40000000,2026-07-12,yfinance_fast_info
RCF,551688100,2026-07-12,yfinance_fast_info
RECLTD,2633224000,2026-07-12,yfinance_fast_info
REDINGTON,781774431,2026-07-12,yfinance_fast_info
REDTAPE,552807600,2026-07-12,yfinance_fast_info
REFEX,137219448,2026-07-12,yfinance_fast_info
REGENCERAM,26441586,2026-07-12,yfinance_fast_info
RELAXO,248938586,2026-07-12,yfinance_fast_info
RELCHEMQ,7543563,2026-07-12,yfinance_fast_info
RELIABLE,10320000,2026-07-12,yfinance_fast_info
RELIANCE,13532472635,2026-07-12,yfinance_fast_info
RELIGARE,341233742,2026-07-12,yfinance_fast_info
RELTD,198549403,2026-07-12,yfinance_fast_info
REMSONSIND,35068103,2026-07-12,yfinance_fast_info
RENUKA,2128489773,2026-07-12,yfinance_fast_info
REPCOHOME,62561362,2026-07-12,yfinance_fast_info
REPRO,14345338,2026-07-12,yfinance_fast_info
RESPONIND,266608544,2026-07-12,yfinance_fast_info
RETAIL,8204600,2026-07-12,yfinance_fast_info
RGL,107396471,2026-07-12,yfinance_fast_info
RHETAN,796875000,2026-07-12,yfinance_fast_info
RHIM,206501426,2026-07-12,yfinance_fast_info
RHL,17291696,2026-07-12,yfinance_fast_info
RICOAUTO,135285000,2026-07-12,yfinance_fast_info
RIIL,15100000,2026-07-12,yfinance_fast_info
RISHABH,38661920,2026-07-12,yfinance_fast_info
RITCO,28470507,2026-07-12,yfinance_fast_info
RITES,480603774,2026-07-12,yfinance_fast_info
RKDL,24000000,2026-07-12,yfinance_fast_info
RKEC,23990600,2026-07-12,yfinance_fast_info
RKFORGE,181784079,2026-07-12,yfinance_fast_info
RKSWAMY,50477241,2026-07-12,yfinance_fast_info
RMC,10581870,2026-07-12,yfinance_fast_info
RMDRIP,428228571,2026-07-12,yfinance_fast_info
RML,27637137,2026-07-12,yfinance_fast_info
RNBDENIMS,285588029,2026-07-12,yfinance_fast_info
ROHLTD,27425215,2026-07-12,yfinance_fast_info
ROLEXRINGS,272333120,2026-07-12,yfinance_fast_info
ROML,14988684,2026-07-12,yfinance_fast_info
ROSSARI,55391616,2026-07-12,yfinance_fast_info
ROSSELLIND,37696475,2026-07-12,yfinance_fast_info
ROSSTECH,37840264,2026-07-12,yfinance_fast_info
ROTO,188911161,2026-07-12,yfinance_fast_info
ROUTE,63003082,2026-07-12,yfinance_fast_info
RPEL,45921950,2026-07-12,yfinance_fast_info
RPGLIFE,16539015,2026-07-12,yfinance_fast_info
RPOWER,4135770966,2026-07-12,yfinance_fast_info
RPPINFRA,49585918,2026-07-12,yfinance_fast_info
RPPL,73344000,2026-07-12,yfinance_fast_info
RPSGVENT,33086409,2026-07-12,yfinance_fast_info
RPTECH,65899666,2026-07-12,yfinance_fast_info
RRKABEL,113105505,2026-07-12,yfinance_fast_info
RSL,83567659,2026-07-12,yfinance_fast_info
RSYSTEMS,118492688,2026-07-12,yfinance_fast_info
RTNINDIA,1380887604,2026-07-12,yfinance_fast_info
RTNPOWER,5370105860,2026-07-12,yfinance_fast_info
RUBFILA,54267529,2026-07-12,yfinance_fast_info
RUBICON,164750310,2026-07-12,yfinance_fast_info
RUCHINFRA,236024942,2026-07-12,yfinance_fast_info
RUCHIRA,29844985,2026-07-12,yfinance_fast_info
RUPA,79544453,2026-07-12,yfinance_fast_info
RUSHIL,293416820,2026-07-12,yfinance_fast_info
RUSTOMJEE,126237116,2026-07-12,yfinance_fast_info
RVHL,61325746,2026-07-12,yfinance_fast_info
RVNL,2085020100,2026-07-12,yfinance_fast_info
RVTH,3066943,2026-07-12,yfinance_fast_info
S&SPOWER,12341550,2026-07-12,yfinance_fast_info
SAATVIKGL,127105004,2026-07-12,yfinance_fast_info
SADBHAV,171570800,2026-07-12,yfinance_fast_info
SAFARI,48995551,2026-07-12,yfinance_fast_info
SAGARDEEP,17057400,2026-07-12,yfinance_fast_info
SAGCEM,130707548,2026-07-12,yfinance_fast_info
SAGILITY,4681328413,2026-07-12,yfinance_fast_info
SAHLIBHFI,30888400,2026-07-12,yfinance_fast_info
SAHYADRI,10946300,2026-07-12,yfinance_fast_info
