symbol,shares,as_of,source
CANTABIL,83638040,2026-07-12,yfinance_fast_info
CAPACITE,84604043,2026-07-12,yfinance_fast_info
CAPILLARY,79471983,2026-07-12,yfinance_fast_info
CAPITALSFB,45465185,2026-07-12,yfinance_fast_info
CAPLIPOINT,76011696,2026-07-12,yfinance_fast_info
CAPTRUST,33875489,2026-07-12,yfinance_fast_info
CARBORUNIV,190493502,2026-07-12,yfinance_fast_info
CARERATING,30087146,2026-07-12,yfinance_fast_info
CARRARO,56851538,2026-07-12,yfinance_fast_info
CARTRADE,48023035,2026-07-12,yfinance_fast_info
CARYSIL,28442606,2026-07-12,yfinance_fast_info
CASTROLIND,989122384,2026-07-12,yfinance_fast_info
CCAVENUE,3481019690,2026-07-12,yfinance_fast_info
CCCL,446759451,2026-07-12,yfinance_fast_info
CCHHL,163464735,2026-07-12,yfinance_fast_info
CCL,133327039,2026-07-12,yfinance_fast_info
CDSL,209000000,2026-07-12,yfinance_fast_info
CEATLTD,40341520,2026-07-12,yfinance_fast_info
CEIGALL,174204861,2026-07-12,yfinance_fast_info
CEINSYS,20937661,2026-07-12,yfinance_fast_info
CELEBRITY,64548346,2026-07-12,yfinance_fast_info
CELLO,220885034,2026-07-12,yfinance_fast_info
CEMPRO,171787584,2026-07-12,yfinance_fast_info
CENTENKA,21850589,2026-07-12,yfinance_fast_info
CENTEXT,80000000,2026-07-12,yfinance_fast_info
CENTRALBK,9051401274,2026-07-12,yfinance_fast_info
CENTRUM,474507460,2026-07-12,yfinance_fast_info
CENTUM,14740983,2026-07-12,yfinance_fast_info
CENTURYPLY,222172990,2026-07-12,yfinance_fast_info
CERA,12892965,2026-07-12,yfinance_fast_info
CESC,1325570430,2026-07-12,yfinance_fast_info
CEWATER,20696233,2026-07-12,yfinance_fast_info
CGCL,962153962,2026-07-12,yfinance_fast_info
CGPOWER,1574979249,2026-07-12,yfinance_fast_info
CHALET,218994127,2026-07-12,yfinance_fast_info
CHAMBLFERT,400652297,2026-07-12,yfinance_fast_info
CHEMPLASTS,158109574,2026-07-12,yfinance_fast_info
CHENNPETRO,148911400,2026-07-12,yfinance_fast_info
CHEVIOT,5841875,2026-07-12,yfinance_fast_info
CHOICEIN,222776500,2026-07-12,yfinance_fast_info
CHOLAFIN,854013036,2026-07-12,yfinance_fast_info
